작업명,상태,우선순위,카테고리,시작일,마감일,태그,진행률,설명
카카오 OAuth 활성화,To Do,🔴 High,Backend,2026-05-05,2026-05-10,"Auth,OAuth",0,카카오 개발자 앱 등록 및 OAuth 연동 완성
로그아웃 기능 추가,To Do,🔴 High,Frontend,2026-05-05,2026-05-08,"Auth,UI",0,모든 페이지에 로그아웃 버튼 추가 및 토큰 삭제
기존 페이지 인증 보호,To Do,🔴 High,Frontend,2026-05-06,2026-05-09,"Auth,Security",0,admin/caregiver/guardian 페이지에 로그인 체크 추가
환자 관리 API 구현,진행중,🟡 Medium,Backend,2026-05-04,2026-05-15,"API,CRUD",30,환자 CRUD API 엔드포인트 구현
식사 기록 데이터 연동,진행중,🟡 Medium,Backend,2026-05-04,2026-05-12,"API,Integration",20,프론트엔드와 백엔드 식사 기록 연동
대시보드 데이터 연동,To Do,🟡 Medium,Frontend,2026-05-10,2026-05-18,"UI,Data",0,관리자 대시보드에 실제 데이터 표시
투약 관리 API,To Do,🟡 Medium,Backend,2026-05-12,2026-05-20,"API,Feature",0,투약 기록 및 알림 API 구현
보호자 알림 시스템,To Do,🟡 Medium,Backend,2026-05-15,2026-05-25,"Feature,Notification",0,보호자에게 실시간 알림 전송 시스템
프로필 이미지 업로드,To Do,🟢 Low,Feature,2026-05-20,2026-05-30,"UI,Upload",0,사용자 프로필 이미지 업로드 기능
비밀번호 재설정,To Do,🟢 Low,Auth,2026-05-18,2026-05-28,"Auth,Security",0,이메일 인증을 통한 비밀번호 재설정
이메일 인증 시스템,To Do,🟢 Low,Auth,2026-05-20,2026-06-05,"Auth,Email",0,회원가입 시 이메일 인증 추가
관리자 권한 관리,To Do,🟡 Medium,Backend,2026-05-15,2026-05-25,"Auth,Admin",0,역할별 권한 세분화 및 관리
식단 추천 AI,To Do,🟡 Medium,AI,2026-05-25,2026-06-15,"AI,Feature",0,Gemini AI를 활용한 개인 맞춤 식단 추천
건강 리포트 자동 생성,To Do,🟢 Low,AI,2026-06-01,2026-06-20,"AI,Report",0,주간/월간 건강 리포트 자동 생성
다국어 지원,보류,🟢 Low,Feature,,,i18n,0,한국어/영어/일본어 지원
모바일 앱 개발,보류,🟡 Medium,Mobile,,,App,0,React Native 또는 Flutter로 모바일 앱 개발
실시간 채팅,To Do,🟡 Medium,Feature,2026-05-20,2026-06-10,"Chat,WebSocket",0,보호자-간병인 실시간 채팅 기능
알림 설정 페이지,To Do,🟢 Low,Frontend,2026-05-25,2026-06-05,"UI,Settings",0,사용자별 알림 설정 페이지
데이터 백업 시스템,To Do,🟡 Medium,DevOps,2026-05-30,2026-06-15,"Backup,Database",0,자동 데이터 백업 및 복구 시스템
로그 모니터링,To Do,🟢 Low,DevOps,2026-06-01,2026-06-20,"Monitoring,Logging",0,서버 로그 수집 및 모니터링 시스템
사용자 인증 시스템,완료,🔴 High,Backend,2026-05-01,2026-05-04,"Auth,JWT",100,JWT 기반 사용자 인증 시스템 구현
이메일 회원가입,완료,🔴 High,Backend,2026-05-01,2026-05-04,"Auth,API",100,이메일/비밀번호 회원가입 API
이메일 로그인,완료,🔴 High,Backend,2026-05-01,2026-05-04,"Auth,API",100,이메일/비밀번호 로그인 API
카카오 OAuth 백엔드,완료,🔴 High,Backend,2026-05-02,2026-05-04,"Auth,OAuth",100,카카오 OAuth 인증 서비스 구현
로그인 UI,완료,🔴 High,Frontend,2026-05-03,2026-05-04,"UI,Auth",100,로그인 페이지 디자인 및 구현
회원가입 UI,완료,🔴 High,Frontend,2026-05-03,2026-05-04,"UI,Auth",100,회원가입 페이지 디자인 및 구현
카카오 콜백 페이지,완료,🔴 High,Frontend,2026-05-03,2026-05-04,"UI,OAuth",100,카카오 OAuth 콜백 처리 페이지
인증 헬퍼 함수,완료,🔴 High,Frontend,2026-05-03,2026-05-04,"Auth,Utils",100,auth.js 헬퍼 함수 구현
Figma 디자인 매칭,완료,🟡 Medium,Design,2026-05-03,2026-05-04,"UI,Design",100,기존 Figma 디자인 스타일 매칭
GitHub 배포,완료,🟡 Medium,DevOps,2026-05-04,2026-05-04,"Deploy,Git",100,GitHub에 코드 푸시 및 관리
